TYPE_NAME,TYPE
TY_CLIENTID,VARCHAR2(18)
TY_TRADINGCOMPID,CHAR(4)
TY_UPLOADTIME,CHAR(8)
TY_WAREHOUSEID,VARCHAR2(10)
TY_PEERACCOUNT,VARCHAR2(32)
TY_UPLOADDATE,CHAR(10)
TY_TYPE,CHAR(2)
TY_SEQTRADE,VARCHAR2(12)
TY_TRSEQ,VARCHAR2(20)
TY_DECLBUSINESS,VARCHAR2(300)
TY_DECLRELATION,VARCHAR2(1024)
TY_SEQ,VARCHAR2(30)
TY_CONTENT,VARCHAR2(2048)
TY_SEATNO,VARCHAR2(15)
TY_TELEPHONE,VARCHAR2(60)
TY_NOTE,VARCHAR2(512)
TY_TRADEMODE_DESC,VARCHAR2(40)
TY_INVESTACCOUNT,VARCHAR2(22)
TY_OLDCLIENTID,VARCHAR2(16)
TY_FGNCURRENCY,CHAR(3)
TY_NATIONALITY,VARCHAR2(3)
TY_TRADELOCATION,VARCHAR2(80)
TY_FLAG,VARCHAR2(1)
TY_NAME,VARCHAR2(120)
TY_ADDRESS,VARCHAR2(200)
TY_DEALRESULT,VARCHAR2(4000)
TY_OPENTRADESEQ,CHAR(16)
TY_VHFLAG,CHAR(1)
TY_NOTES,VARCHAR2(70)
TY_TITLE,VARCHAR2(100)
TY_TRADEMODE,VARCHAR2(7)
TY_CUSTDIANNAME,VARCHAR2(400)
TY_COMPID,VARCHAR2(4)
TY_EXCHANGEID,VARCHAR2(2)
TY_PEERACCNAME,VARCHAR2(72)
TY_TRADESEQ,VARCHAR2(8)
TY_WAREHOUSENAME,VARCHAR2(50)
TY_COMMODITYID,VARCHAR2(5)
TY_SOFTDESC,VARCHAR2(1000)
TY_SETTLEMENTFUND,"NUMBER(18,2)"
TY_TRANSUNIT,"NUMBER(5,0)"
TY_RISKRATE,"NUMBER(14,3)"
TY_MIDDLEPRICE,"NUMBER(16,8)"
TY_FGNAMOUNT,"NUMBER(19,4)"
TY_WARRANTAMOUNT,"NUMBER(10,0)"
TY_MARGIN,"NUMBER(19,3)"
TY_CASHMORTGAGE_IN,"NUMBER(18,3)"
TY_MARGINRATE,"NUMBER(10,8)"
TY_INVENTORY,"NUMBER(16,3)"
TY_SEQTR,"NUMBER(18,0)"
TY_TRADEMARGIN,"NUMBER(15,3)"
